Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Ga,69.723,187.0,1.81,5.999,0.3,50.0,11.70988051302729,46.83952205210916,0.25,0.75,0.015613174017369719,0.0007267348179323822,0.7267348179323823,I4/mmm,139,4,LiGa3
Cu,63.55,140.0,1.9,7.726,1.228,46.5,14.243750556491062,56.975002225964246,0.25,0.75,0.01899166740865475,0.0012308993271740317,1.2308993271740316,P6_3/mmc,194,8,LiCu3
Ag,107.868,172.0,1.93,7.576,1.302,55.0,11.54225672963605,23.0845134592721,0.5,0.5,0.0230845134592721,0.0007580766311038328,0.7580766311038328,Pm-3m,221,2,LiAg
Pd,106.42,202.0,2.2,8.337,0.557,26.14,15.709607453831198,20.946143271774933,0.75,0.25,0.0628384298153248,0.0010910822328285396,1.0910822328285397,Fm-3m,225,4,Li3Pd
In,114.818,193.0,1.78,5.786,0.3,65.0,17.2909205719537,23.05456076260493,0.75,0.25,0.06916368228781479,0.0009445892058545471,0.9445892058545471,I4/mmm,139,4,Li3In
Pr,140.90766,239.0,1.13,5.464,,216.0,33.31936227213405,133.2774490885362,0.25,0.75,0.0444258163628454,0.0010229232327241856,1.0229232327241857,Pm-3m,221,4,LiPr3
Mg,24.305,173.0,1.31,7.646,,71.2,15.07475496017544,30.14950992035088,0.5,0.5,0.03014950992035088,0.0007451371512682841,0.7451371512682842,Cm,8,6,LiMg
Ce,140.116,235.0,1.12,5.539,0.5,205.0,5.485629973580113,21.94251989432045,0.25,0.75,0.007314173298106817,0.00020631798151561048,0.20631798151561048,Pm-3m,221,4,LiCe3
Sb,121.76,206.0,2.05,8.64,1.07,43.0,12.270265854081716,16.814808763000872,0.7297297297297297,0.2702702702702703,0.04539998366010235,0.0006583941268930843,0.6583941268930843,P-1,2,37,Li27Sb10
Cd,112.41,158.0,1.69,8.994,,46.0,12.951799447437581,19.427699171156373,0.6666666666666666,0.3333333333333333,0.03885539834231275,0.0006049898257684887,0.6049898257684887,Fd-3m,227,12,Li2Cd
Al,26.981538,184.0,1.61,5.986,0.441,57.8,14.56987339850881,24.283122330848016,0.6,0.4,0.03642468349627202,0.0009091570601375479,0.9091570601375479,R-3m,166,5,Li3Al2
P,30.973762,180.0,2.19,10.487,0.746,25.0,11.995885978621939,15.994514638162583,0.75,0.25,0.04798354391448775,0.0008247810010583106,0.8247810010583105,P6_3/mmc,194,8,Li3P
Na,22.9897693,227.0,0.93,5.139,0.548,162.7,18.374774730027873,24.499699640037164,0.75,0.25,0.0734990989201115,0.0007371006889577973,0.7371006889577972,I4/mmm,139,4,NaLi3
Al,26.981538,184.0,1.61,5.986,0.441,57.8,15.3812604129275,23.07189061939125,0.6666666666666666,0.3333333333333333,0.0461437812387825,0.0008244365305839865,0.8244365305839865,Fd-3m,227,12,Li2Al
S,32.07,180.0,2.58,10.36,2.077,19.4,10.985183275117135,16.477774912675702,0.6666666666666666,0.3333333333333333,0.032955549825351406,0.0007230398644367353,0.7230398644367353,Fm-3m,225,3,Li2S
Mg,24.305,173.0,1.31,7.646,,71.2,14.8639864544855,59.455945817942,0.25,0.75,0.019818648605980666,0.0006865049737942949,0.6865049737942949,Imm2,44,4,LiMg3
Tc,96.90636,209.0,1.9,7.28,0.55,79.0,1.7260922421710752,2.301456322894767,0.75,0.25,0.0069043689686843004,0.00011812873508081924,0.11812873508081924,I4/mmm,139,4,Li3Tc
Ca,40.08,231.0,1.0,6.113,,160.8,18.622928001813325,24.830570669084434,0.75,0.25,0.0744917120072533,0.0006999594172306051,0.6999594172306051,I4/mmm,139,4,Li3Ca
In,114.818,193.0,1.78,5.786,0.3,65.0,10.1119897892167,40.4479591568668,0.25,0.75,0.013482653052288934,0.00044599591302683684,0.44599591302683683,Pm-3m,221,4,LiIn3
Si,28.085,210.0,1.9,8.152,1.385,37.3,10.83735978385018,13.933748293521662,0.7777777777777778,0.2222222222222222,0.048768119027325814,0.0007358526136679376,0.7358526136679376,Pbam,55,36,Li7Si2
Rb,85.468,303.0,0.82,4.177,0.468,319.8,1.8549936324729248,7.419974529891699,0.25,0.75,0.002473324843297233,2.663491922444382e-05,0.026634919224443818,I4/mmm,139,4,Rb3Li
K,39.0983,275.0,0.82,4.341,0.501,289.7,2.116585127673875,8.4663405106955,0.25,0.75,0.002822113503565167,3.646323726877234e-05,0.03646323726877234,I4/mmm,139,4,K3Li
Pb,207.0,202.0,2.33,7.417,0.36,57.0,11.863857096235536,15.4230142251062,0.7692307692307693,0.23076923076923078,0.05141004741702066,0.0005969922535261272,0.5969922535261273,P-43m,215,52,Li10Pb3
C,12.011,170.0,2.55,11.26,1.263,11.3,11.156314153430252,14.875085537907001,0.75,0.25,0.04462525661372101,0.0012127355117863042,1.2127355117863043,Fm-3m,225,4,Li3C
Rb,85.468,303.0,0.82,4.177,0.468,319.8,2.053649513167125,8.2145980526685,0.25,0.75,0.0027381993508895,3.0075181465459446e-05,0.030075181465459445,Fm-3m,225,4,Rb3Li
C,12.011,170.0,2.55,11.26,1.263,11.3,0.679204262007596,8.829655406098746,0.07692307692307693,0.9230769230769231,0.0007358046171748956,7.797928092966201e-05,0.07797928092966201,Cmcm,63,26,LiC12
Sn,118.71,217.0,1.96,7.344,1.2,53.0,1.0165615830229,1.4231862162320599,0.7142857142857143,0.2857142857142857,0.00355796554058015,5.662377233850437e-05,0.05662377233850437,R-3m,166,7,Li5Sn2
Lu,174.9667,221.0,1.27,5.426,,137.0,13.1723787164511,52.6895148658044,0.25,0.75,0.0175631716219348,0.00048050500861941973,0.48050500861941975,P6_3/mmc,194,8,LiLu3
Ca,40.08,231.0,1.0,6.113,,160.8,19.033566299820535,28.550349449730803,0.6666666666666666,0.3333333333333333,0.05710069889946161,0.0006725782893452156,0.6725782893452156,Fd-3m,227,6,Li2Ca
Mg,24.305,173.0,1.31,7.646,,71.2,16.588233775555956,33.17646755111191,0.5,0.5,0.033176467551111914,0.0007937417117135163,0.7937417117135163,Amm2,38,6,LiMg
Fe,55.84,194.0,1.83,7.902,0.163,62.0,3.1697810645356252,6.3395621290712505,0.5,0.5,0.00633956212907125,0.0002584538175080094,0.2584538175080094,Cmcm,63,4,LiFe
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.86890048942425,1.158533985899,0.75,0.25,0.003475601957697,6.557445228100951e-05,0.06557445228100951,Fm-3m,225,4,Li3Rh
Tl,204.383,196.0,1.62,6.108,0.2,66.0,10.554878878467424,42.219515513869695,0.25,0.75,0.014073171837956566,0.00040399601885470144,0.40399601885470143,I4/mmm,139,4,LiTl3
Yb,173.05,242.0,,6.254,,139.0,22.48400575470657,89.93602301882628,0.25,0.75,0.029978674339608758,0.0008353288026135472,0.8353288026135472,Fm-3m,225,4,LiYb3
Au,196.96657,166.0,2.54,9.226,2.309,36.06,6.373689466832607,25.494757867330428,0.25,0.75,0.008498252622443477,0.00038932774432563414,0.38932774432563416,P6_3/mmc,194,8,LiAu3
Sr,87.62,249.0,0.95,5.695,,197.2,16.745278719015023,41.86319679753756,0.4,0.6,0.02790879786502504,0.0003970176506869426,0.39701765068694256,P4_2/mnm,136,20,Sr3Li2
B,10.81,192.0,2.04,8.298,0.277,20.5,1.4141310225483004,2.8282620450966007,0.5,0.5,0.0028282620450966007,0.00013123804570027879,0.13123804570027878,P6_3/mmc,194,4,LiB
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,17.735980232183675,23.647973642911563,0.75,0.25,0.0709439209287347,0.0010067226530968787,1.0067226530968787,I4/mmm,139,4,Li3Nb
Hg,200.59,209.0,2.0,10.438,,33.0,6.840046432642399,13.680092865284799,0.5,0.5,0.013680092865284798,0.0003802082010705476,0.38020820107054765,Pm-3m,221,2,LiHg
Ge,72.63,211.0,2.01,7.9,1.35,40.0,1.0342825138736185,1.6376139802998957,0.631578947368421,0.3684210526315789,0.0028073382519426785,6.0512571983221284e-05,0.06051257198322128,Pnma,62,152,Li12Ge7
Hf,178.49,212.0,1.3,6.825,,103.0,14.16389189832885,28.3277837966577,0.5,0.5,0.0283277837966577,0.0006836186489345509,0.6836186489345509,P-6m2,187,2,LiHf
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.8369527861343423,1.3251752447127088,0.631578947368421,0.3684210526315789,0.002271728990936072,5.3094990095240654e-05,0.05309499009524066,Pnma,62,152,Li12Si7
Mg,24.305,173.0,1.31,7.646,,71.2,15.972585708462967,23.958878562694448,0.6666666666666666,0.3333333333333333,0.0479177571253889,0.0007737303251916095,0.7737303251916094,Amm2,38,6,Li2Mg
Si,28.085,210.0,1.9,8.152,1.385,37.3,13.518212707945601,16.59053377793324,0.8148148148148148,0.18518518518518517,0.07299834862290625,0.0009009962576779852,0.9009962576779852,F-43m,216,108,Li22Si5
Zr,91.22,186.0,1.33,6.634,0.426,112.0,23.274230429979102,31.032307239972134,0.75,0.25,0.0930969217199164,0.0012427594995679274,1.2427594995679274,Fm-3m,225,4,Li3Zr
Tl,204.383,196.0,1.62,6.108,0.2,66.0,13.250020619529563,26.500041239059126,0.5,0.5,0.026500041239059125,0.0005867111777670467,0.5867111777670467,Cmce,64,24,LiTl
Zn,65.4,139.0,1.65,9.394,,38.67,11.847708444335318,47.39083377734127,0.25,0.75,0.015796944592447088,0.0008599909931041723,0.8599909931041723,P6_3/mmc,194,8,LiZn3
Mg,24.305,173.0,1.31,7.646,,71.2,17.182997131463896,34.36599426292779,0.5,0.5,0.034365994262927795,0.0008089495593527128,0.8089495593527128,P3m1,156,6,LiMg
Al,26.981538,184.0,1.61,5.986,0.441,57.8,13.504645385935584,27.009290771871168,0.5,0.5,0.02700929077187117,0.0006990695637000439,0.6990695637000439,Cmce,64,24,LiAl
Hg,200.59,209.0,2.0,10.438,,33.0,12.993035441716799,17.324047255622396,0.75,0.25,0.051972141766867194,0.0007620379732940314,0.7620379732940314,I4/mmm,139,4,Li3Hg
Fe,55.84,194.0,1.83,7.902,0.163,62.0,2.5248728686606254,3.366497158214167,0.75,0.25,0.010099491474642501,0.00016460806484591616,0.16460806484591617,P6_3/mmc,194,8,Li3Fe
Mg,24.305,173.0,1.31,7.646,,71.2,16.420485093890598,32.840970187781195,0.5,0.5,0.0328409701877812,0.0007836791186763564,0.7836791186763564,C2/m,12,4,LiMg
Mg,24.305,173.0,1.31,7.646,,71.2,17.195114853695497,25.792672280543247,0.6666666666666666,0.3333333333333333,0.051585344561086495,0.0008614505344781485,0.8614505344781486,Cmcm,63,6,Li2Mg
Mg,24.305,173.0,1.31,7.646,,71.2,3.4637755539771007,6.927551107954201,0.5,0.5,0.006927551107954202,0.00017389345868231424,0.17389345868231423,Pm-3m,221,2,LiMg
Pt,195.08,209.0,2.28,9.0,2.128,48.0,11.026604177195019,16.539906265792528,0.6666666666666666,0.3333333333333333,0.033079812531585054,0.0008304126456701344,0.8304126456701344,P6/mmm,191,3,Li2Pt
S,32.07,180.0,2.58,10.36,2.077,19.4,5.581935254870469,11.163870509740939,0.5,0.5,0.011163870509740938,0.00027991547299096117,0.27991547299096114,I-42m,121,8,LiS
Tl,204.383,196.0,1.62,6.108,0.2,66.0,16.036368403658436,24.054552605487654,0.6666666666666666,0.3333333333333333,0.048109105210975306,0.0008522431001638194,0.8522431001638194,Cmcm,63,6,Li2Tl
Cd,112.41,158.0,1.69,8.994,,46.0,15.09938825519645,20.13251767359527,0.75,0.25,0.0603975530207858,0.0008331205077996447,0.8331205077996446,I4/mmm,139,4,Li3Cd
Mg,24.305,173.0,1.31,7.646,,71.2,16.52986300654284,49.58958901962853,0.3333333333333333,0.6666666666666666,0.024794794509814262,0.0007754838408738023,0.7754838408738023,Cmcm,63,6,LiMg2
Ca,40.08,231.0,1.0,6.113,,160.8,17.359199604987033,69.43679841994813,0.25,0.75,0.023145599473316045,0.0004621031721479674,0.46210317214796737,I4/mmm,139,4,LiCa3
In,114.818,193.0,1.78,5.786,0.3,65.0,14.69818115328804,24.4969685888134,0.6,0.4,0.0367454528832201,0.0007797100965468508,0.7797100965468508,R-3m,166,5,Li3In2
Tm,168.93422,227.0,1.25,6.184,,144.0,18.221397312764,72.885589251056,0.25,0.75,0.02429519641701867,0.0006476965891534458,0.6476965891534457,P6_3/mmc,194,8,LiTm3
In,114.818,193.0,1.78,5.786,0.3,65.0,8.713297291850145,26.139891875550436,0.3333333333333333,0.6666666666666666,0.013069945937775218,0.0003618859829531078,0.3618859829531078,Fd-3m,227,12,LiIn2
Cu,63.55,140.0,1.9,7.726,1.228,46.5,13.982063827059013,55.928255308236054,0.25,0.75,0.018642751769412016,0.0012025771904089018,1.2025771904089018,Fm-3m,225,4,LiCu3
O,15.999,152.0,3.44,13.618,1.461,5.3,1.075606130583733,3.226818391751199,0.3333333333333333,0.6666666666666666,0.0016134091958755997,0.00011167446961003927,0.11167446961003927,R-3m,166,3,LiO2
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.8687498540594996,1.1583331387459994,0.75,0.25,0.0034749994162379984,4.9606180930965454e-05,0.04960618093096545,Fm-3m,225,4,Li3Sn
Ag,107.868,172.0,1.93,7.576,1.302,55.0,14.354437868742632,20.734188032628246,0.6923076923076923,0.3076923076923077,0.04665192307341356,0.0008287578109069478,0.8287578109069478,Fmm2,42,26,Li9Ag4
Au,196.96657,166.0,2.54,9.226,2.309,36.06,12.24556525197096,16.327420335961282,0.75,0.25,0.048982261007883846,0.0008167730673651279,0.8167730673651279,Fm-3m,225,4,Li3Au
Mg,24.305,173.0,1.31,7.646,,71.2,14.794002437433077,29.588004874866154,0.5,0.5,0.029588004874866153,0.0007169500198333632,0.7169500198333632,Pmma,51,4,LiMg
Zn,65.4,139.0,1.65,9.394,,38.67,12.694540626966113,50.77816250786445,0.25,0.75,0.016926054169288152,0.0009299650086731832,0.9299650086731832,Fm-3m,225,4,LiZn3
Hg,200.59,209.0,2.0,10.438,,33.0,5.2330838678355995,20.932335471342398,0.25,0.75,0.006977445157114133,0.0002412138000830266,0.2412138000830266,Pm-3m,221,4,LiHg3
Hf,178.49,212.0,1.3,6.825,,103.0,0.8416552347941367,1.1572759478419379,0.7272727272727273,0.2727272727272727,0.0030860691942451676,3.106985355374382e-05,0.031069853553743823,Im-3m,229,22,Li8Hf3
Ag,107.868,172.0,1.93,7.576,1.302,55.0,9.650851655621144,38.60340662248458,0.25,0.75,0.01286780220749486,0.000580674922591304,0.580674922591304,P6_3/mmc,194,8,LiAg3
Mg,24.305,173.0,1.31,7.646,,71.2,12.8252820305939,38.475846091781705,0.3333333333333333,0.6666666666666666,0.01923792304589085,0.0006242489771770174,0.6242489771770173,Immm,71,3,LiMg2
Pr,140.90766,239.0,1.13,5.464,,216.0,25.556622163834202,34.0754962184456,0.75,0.25,0.1022264886553368,0.0010267846612828206,1.0267846612828206,Fm-3m,225,4,Li3Pr
Se,78.97,190.0,2.55,9.752,2.021,28.9,9.659878001782918,14.489817002674377,0.6666666666666666,0.3333333333333333,0.028979634005348753,0.0005497240546315091,0.5497240546315091,Fm-3m,225,3,Li2Se
Si,28.085,210.0,1.9,8.152,1.385,37.3,13.140352037946972,16.269007285077205,0.8076923076923077,0.19230769230769232,0.06832983059732425,0.0008588129533928696,0.8588129533928696,F-43m,216,104,Li21Si5
Mg,24.305,173.0,1.31,7.646,,71.2,15.473620767766063,61.89448307106425,0.25,0.75,0.020631494357021416,0.0007211413297078116,0.7211413297078116,Pm-3m,221,4,LiMg3
Pb,207.0,202.0,2.33,7.417,0.36,57.0,14.003003460456203,17.185504246923525,0.8148148148148148,0.18518518518518517,0.0756162186864635,0.0007521978541213252,0.7521978541213252,F-43m,216,108,Li22Pb5
Ba,137.33,268.0,0.89,5.212,,272.0,15.293689961973486,61.174759847893945,0.25,0.75,0.020391586615964647,0.0002785746160991824,0.2785746160991824,I4/mmm,139,4,Ba3Li
Hg,200.59,209.0,2.0,10.438,,33.0,5.153514054961987,20.61405621984795,0.25,0.75,0.006871352073282651,0.00023472866999294163,0.23472866999294162,Fm-3m,225,4,LiHg3
O,15.999,152.0,3.44,13.618,1.461,5.3,0.8421584606797389,7.57942614611765,0.1111111111111111,0.8888888888888888,0.0009474282682647063,6.013623019092165e-05,0.06013623019092165,C2/m,12,9,LiO8
C,12.011,170.0,2.55,11.26,1.263,11.3,10.430360906489966,15.645541359734949,0.6666666666666666,0.3333333333333333,0.0312910827194699,0.000894516702795378,0.894516702795378,Fm-3m,225,3,Li2C
Yb,173.05,242.0,,6.254,,139.0,23.616784982147177,31.489046642862903,0.75,0.25,0.09446713992858871,0.0010584427083372716,1.0584427083372716,Fm-3m,225,4,Li3Yb
Eu,151.964,233.0,,5.67,,184.0,31.95038327003706,127.80153308014825,0.25,0.75,0.04260051102671608,0.00082170824809464,0.8217082480946399,P6_3/mmc,194,8,LiEu3
W,183.84,210.0,2.36,7.98,0.815,68.0,1.2991164661379875,1.7321552881839835,0.75,0.25,0.00519646586455195,8.113908903227736e-05,0.08113908903227736,I4/mmm,139,4,Li3W
Ho,164.93033,216.0,1.23,6.022,,156.0,18.116510353308133,72.46604141323253,0.25,0.75,0.024155347137744174,0.000630868990586545,0.630868990586545,Pm-3m,221,4,LiHo3
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,18.0199255459288,72.0797021837152,0.25,0.75,0.024026567394571735,0.0013584931979113968,1.3584931979113968,Imm2,44,4,LiRh3
Co,58.93319,192.0,1.88,7.881,0.661,55.0,2.18039669610825,2.907195594811,0.75,0.25,0.008721586784433001,0.00015485029164171078,0.15485029164171077,I4/mmm,139,4,Li3Co
K,39.0983,275.0,0.82,4.341,0.501,289.7,11.8202212330917,15.760294977455601,0.75,0.25,0.047280884932366804,0.0003636184651381692,0.3636184651381692,Fm-3m,225,4,KLi3
Mg,24.305,173.0,1.31,7.646,,71.2,14.86577194169155,59.4630877667662,0.25,0.75,0.019821029255588735,0.0006866777537543174,0.6866777537543174,Pmm2,25,4,LiMg3
Ir,192.22,202.0,2.2,9.1,1.565,54.0,4.739840310934339,18.959361243737355,0.25,0.75,0.006319787081245785,0.00034681142179704893,0.34681142179704894,Cm,8,4,LiIr3
Tb,158.92535,221.0,,5.864,,170.0,21.212683301634062,84.85073320653625,0.25,0.75,0.028283577735512083,0.0007156256769833986,0.7156256769833986,P6_3/mmc,194,8,LiTb3
Si,28.085,210.0,1.9,8.152,1.385,37.3,1.8753870050727006,7.5015480202908025,0.25,0.75,0.002500516006763601,0.00013258377377898796,0.13258377377898797,I4/mmm,139,4,LiSi3
Mg,24.305,173.0,1.31,7.646,,71.2,11.133628913144157,178.13806261030652,0.0625,0.9375,0.011875870840687102,0.0004998157523012759,0.4998157523012759,P-6m2,187,16,LiMg15
Ga,69.723,187.0,1.81,5.999,0.3,50.0,4.337517207421675,8.67503441484335,0.5,0.5,0.008675034414843349,0.00029664211489303677,0.29664211489303677,Fd-3m,227,4,LiGa
Pb,207.0,202.0,2.33,7.417,0.36,57.0,13.48998312756162,16.66409680463494,0.8095238095238095,0.19047619047619047,0.0708224114196985,0.0007137679205759464,0.7137679205759464,F-43m,216,105,Li17Pb4
Mg,24.305,173.0,1.31,7.646,,71.2,13.372238417793252,80.2334305067595,0.16666666666666666,0.8333333333333334,0.0160466861013519,0.0006100572362147018,0.6100572362147018,P-62m,189,6,LiMg5
Tb,158.92535,221.0,,5.864,,170.0,32.66632559061604,130.66530236246416,0.25,0.75,0.04355510078748805,0.0011252852140610143,1.1252852140610143,I4/mmm,139,4,LiTb3
Gd,157.25,237.0,1.2,6.15,,158.0,15.46121239127035,61.8448495650814,0.25,0.75,0.020614949855027133,0.0005156232375157938,0.5156232375157939,P6_3/mmc,194,8,LiGd3
Br,79.9,183.0,2.96,11.814,3.365,21.0,4.485602707869213,8.971205415738426,0.5,0.5,0.008971205415738426,0.00018060798906463697,0.18060798906463696,P6_3mc,186,4,LiBr
K,39.0983,275.0,0.82,4.341,0.501,289.7,12.355850632417374,16.47446750988983,0.75,0.25,0.049423402529669494,0.0003912369659761718,0.3912369659761718,I4/mmm,139,4,KLi3
Co,58.93319,192.0,1.88,7.881,0.661,55.0,1.8062524701053118,2.4083366268070825,0.75,0.25,0.007225009880421247,0.0001344076858548293,0.1344076858548293,P6_3/mmc,194,8,Li3Co
Ac,227.02775,260.0,1.1,5.17,,282.0,13.634764704525487,54.53905881810195,0.25,0.75,0.01817968627270065,0.0003391809707329945,0.33918097073299447,Pm-3m,221,4,LiAc3
Bi,208.9804,207.0,2.02,7.289,0.946,53.0,13.114259749988012,17.485679666650682,0.75,0.25,0.05245703899995205,0.0007004742166216941,0.7004742166216941,Fm-3m,225,4,Li3Bi
Mg,24.305,173.0,1.31,7.646,,71.2,3.5080810988986504,7.016162197797301,0.5,0.5,0.0070161621977973005,0.00017305542889146605,0.17305542889146605,P4/mmm,123,2,LiMg
Mg,24.305,173.0,1.31,7.646,,71.2,17.90591498006629,23.874553306755047,0.75,0.25,0.07162365992026515,0.0008883221968332785,0.8883221968332785,Fm-3m,225,4,Li3Mg
Pd,106.42,202.0,2.2,8.337,0.557,26.14,3.5551581521786173,5.332737228267926,0.6666666666666666,0.3333333333333333,0.010665474456535852,0.00025988493939855807,0.25988493939855806,P6/mmm,191,3,Li2Pd
O,15.999,152.0,3.44,13.618,1.461,5.3,0.6939110828974998,1.3878221657949996,0.5,0.5,0.0013878221657949996,8.79650418040317e-05,0.0879650418040317,P6_3/mmc,194,8,Li2O2
Yb,173.05,242.0,,6.254,,139.0,26.61638456826238,106.46553827304952,0.25,0.75,0.03548851275768317,0.0009537190373710187,0.9537190373710187,P6_3/mmc,194,8,LiYb3
Pb,207.0,202.0,2.33,7.417,0.36,57.0,11.755253228278724,15.673670971038298,0.75,0.25,0.0470210129131149,0.000644284618804435,0.644284618804435,I4/mmm,139,4,Li3Pb
As,74.92159,185.0,2.18,9.815,0.81,30.0,2.5867140772807065,10.346856309122826,0.25,0.75,0.003448952103040942,0.00013845363890533957,0.13845363890533957,P6_3/mmc,194,8,LiAs3
