Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Ba,137.33,268.0,0.89,5.212,,272.0,12.687327793330534,38.0619833799916,0.3333333333333333,0.3333333333333333,0.0380619833799916,0.000290050311892622,0.290050311892622,I4/mmm,139,3,Ba2Zn
Ba,137.33,268.0,0.89,5.212,,272.0,8.222696998784803,8.855212152537481,0.9285714285714286,0.9285714285714286,0.00885521215253748,0.0005057983683993706,0.5057983683993706,Fm-3c,226,28,BaZn13
Ba,137.33,268.0,0.89,5.212,,272.0,11.320006897382141,16.98001034607321,0.6666666666666666,0.6666666666666666,0.016980010346073212,0.00043466212807307287,0.43466212807307286,C2/c,15,6,BaZn2
Ba,137.33,268.0,0.89,5.212,,272.0,9.283639459045917,11.140367350855103,0.8333333333333334,0.8333333333333334,0.011140367350855102,0.00046920650290055996,0.46920650290056,Cmcm,63,12,BaZn5
Ca,40.08,231.0,1.0,6.113,,160.8,10.971699038503905,29.25786410267708,0.375,0.375,0.02925786410267708,0.0003720911037270985,0.37209110372709847,I4/mcm,140,16,Ca5Zn3
Ca,40.08,231.0,1.0,6.113,,160.8,11.623928398812621,12.680649162341044,0.9166666666666666,0.9166666666666666,0.012680649162341044,0.000748994627020413,0.748994627020413,C2/m,12,24,CaZn11
Ca,40.08,231.0,1.0,6.113,,160.8,8.338780659570451,12.508170989355676,0.6666666666666666,0.6666666666666666,0.012508170989355676,0.0004031227320844647,0.40312273208446475,Imma,74,6,CaZn2
Ca,40.08,231.0,1.0,6.113,,160.8,9.078331953954418,10.8939983447453,0.8333333333333334,0.8333333333333334,0.0108939983447453,0.0005324151367135577,0.5324151367135578,P6/mmm,191,6,CaZn5
Ca,40.08,231.0,1.0,6.113,,160.8,11.78620921516396,23.57241843032792,0.5,0.5,0.02357241843032792,0.0004500181425056665,0.4500181425056665,Cmcm,63,4,CaZn
Ce,140.116,235.0,1.12,5.539,0.5,205.0,9.733952872600844,10.879123798789179,0.8947368421052632,0.8947368421052632,0.010879123798789178,0.0006104681552733759,0.610468155273376,R-3m,166,19,Ce2Zn17
Ce,140.116,235.0,1.12,5.539,0.5,205.0,8.026319355352136,10.215315543175445,0.7857142857142857,0.7857142857142857,0.010215315543175445,0.0004335355975844156,0.43353559758441557,Immm,71,14,Ce3Zn11
Ce,140.116,235.0,1.12,5.539,0.5,205.0,10.111730958869583,11.490603362351798,0.88,0.88,0.011490603362351798,0.0006024009874204138,0.6024009874204138,I4_1/amd,141,50,Ce3Zn22
Ce,140.116,235.0,1.12,5.539,0.5,205.0,9.939915092440668,10.843543737208,0.9166666666666666,0.9166666666666666,0.010843543737208,0.0006375533659859775,0.6375533659859776,I4_1/amd,141,24,CeZn11
Ce,140.116,235.0,1.12,5.539,0.5,205.0,6.415838178969885,9.623757268454828,0.6666666666666666,0.6666666666666666,0.009623757268454828,0.00030058280887540294,0.30058280887540295,P-1,2,6,CeZn2
Ce,140.116,235.0,1.12,5.539,0.5,205.0,5.168720459377781,6.8916272791703745,0.75,0.75,0.006891627279170374,0.00027856571041782275,0.27856571041782274,Pnma,62,16,CeZn3
Dy,162.5,229.0,1.22,5.939,,163.0,13.723397000008815,15.337914294127497,0.8947368421052632,0.8947368421052632,0.015337914294127498,0.0008896486754507665,0.8896486754507665,R-3m,166,19,Dy2Zn17
Dy,162.5,229.0,1.22,5.939,,163.0,13.427588768554072,17.089658432705182,0.7857142857142857,0.7857142857142857,0.01708965843270518,0.0007751264014217554,0.7751264014217555,Immm,71,14,Dy3Zn11
Dy,162.5,229.0,1.22,5.939,,163.0,12.907390221268003,13.983006073040334,0.9230769230769231,0.9230769230769231,0.013983006073040335,0.0008558921388163526,0.8558921388163526,I4/mmm,139,13,DyZn12
Dy,162.5,229.0,1.22,5.939,,163.0,13.730584474114076,20.595876711171115,0.6666666666666666,0.6666666666666666,0.020595876711171114,0.0007030253699052433,0.7030253699052433,Imma,74,6,DyZn2
Dy,162.5,229.0,1.22,5.939,,163.0,15.066880825873593,20.089174434498123,0.75,0.75,0.020089174434498123,0.0008417903173153644,0.8417903173153645,Pnma,62,16,DyZn3
Dy,162.5,229.0,1.22,5.939,,163.0,10.916287915228201,13.099545498273839,0.8333333333333334,0.8333333333333334,0.01309954549827384,0.0006624288451896999,0.6624288451896999,P6/mmm,191,6,DyZn5
Dy,162.5,229.0,1.22,5.939,,163.0,19.7299124629135,39.459824925827,0.5,0.5,0.039459824925827,0.0008857354451590461,0.8857354451590461,Pm-3m,221,2,DyZn
Er,167.26,235.0,1.24,6.108,,150.0,13.858821732289183,15.489271347852617,0.8947368421052632,0.8947368421052632,0.015489271347852617,0.0009049192448783029,0.9049192448783029,R-3m,166,19,Er2Zn17
Er,167.26,235.0,1.24,6.108,,150.0,13.034874036062575,14.12111353906779,0.9230769230769231,0.9230769230769231,0.01412111353906779,0.0008693897270091,0.8693897270091,I4/mmm,139,13,ErZn12
Er,167.26,235.0,1.24,6.108,,150.0,16.168892530722335,24.253338796083504,0.6666666666666666,0.6666666666666666,0.024253338796083504,0.0008475724848183884,0.8475724848183884,Imma,74,6,ErZn2
Er,167.26,235.0,1.24,6.108,,150.0,15.48650456618906,20.64867275491875,0.75,0.75,0.02064867275491875,0.000882384848645036,0.8823848486450361,Pnma,62,16,ErZn3
Er,167.26,235.0,1.24,6.108,,150.0,20.874456946643775,41.74891389328755,0.5,0.5,0.041748913893287554,0.0009671730632444552,0.9671730632444553,Pm-3m,221,2,ErZn
Eu,151.964,233.0,,5.67,,184.0,12.840450959663729,14.007764683269523,0.9166666666666666,0.9166666666666666,0.014007764683269523,0.0008193712398625743,0.8193712398625743,C2/m,12,24,EuZn11
Eu,151.964,233.0,,5.67,,184.0,16.544123696148244,24.816185544222368,0.6666666666666666,0.6666666666666666,0.024816185544222366,0.0007609888048209156,0.7609888048209156,Imma,74,6,EuZn2
Eu,151.964,233.0,,5.67,,184.0,10.46836877886203,12.562042534634438,0.8333333333333334,0.8333333333333334,0.012562042534634438,0.0005944561699768214,0.5944561699768214,P6/mmm,191,6,EuZn5
Eu,151.964,233.0,,5.67,,184.0,18.340400486500375,36.68080097300075,0.5,0.5,0.03668080097300075,0.0007004972095148529,0.7004972095148528,Pm-3m,221,2,EuZn
Gd,157.25,237.0,1.2,6.15,,158.0,8.622507522891816,9.636920172643796,0.8947368421052632,0.8947368421052632,0.009636920172643795,0.000552483386324196,0.552483386324196,R-3m,166,19,Gd2Zn17
Gd,157.25,237.0,1.2,6.15,,158.0,9.514912932101174,14.272369398151762,0.6666666666666666,0.6666666666666666,0.014272369398151762,0.0004724525359144243,0.4724525359144243,Imma,74,6,GdZn2
Gd,157.25,237.0,1.2,6.15,,158.0,13.70485504201845,27.4097100840369,0.5,0.5,0.0274097100840369,0.0005954630536762505,0.5954630536762505,Pm-3m,221,2,GdZn
Hf,178.49,212.0,1.3,6.825,,103.0,14.632269701668701,43.896809105006106,0.3333333333333333,0.3333333333333333,0.0438968091050061,0.0007537079817940103,0.7537079817940103,I4/mmm,139,3,Hf2Zn
Hf,178.49,212.0,1.3,6.825,,103.0,13.570174115559118,20.355261173338675,0.6666666666666666,0.6666666666666666,0.020355261173338676,0.0008432775740859942,0.8432775740859941,Fd-3m,227,6,HfZn2
Ho,164.93033,216.0,1.23,6.022,,156.0,9.082574489988415,11.118323944640991,0.8169014084507042,0.8169014084507042,0.011118323944640992,0.0005209328376307461,0.5209328376307462,P6_3/mmc,194,142,Ho13Zn58
Ho,164.93033,216.0,1.23,6.022,,156.0,13.8591192592215,15.48960387795344,0.8947368421052632,0.8947368421052632,0.01548960387795344,0.0009014596115520086,0.9014596115520086,R-3m,166,19,Ho2Zn17
Ho,164.93033,216.0,1.23,6.022,,156.0,12.956431784355845,14.036134433052164,0.9230769230769231,0.9230769230769231,0.014036134433052164,0.000861054249064334,0.861054249064334,I4/mmm,139,13,HoZn12
Ho,164.93033,216.0,1.23,6.022,,156.0,13.503440812194219,20.255161218291327,0.6666666666666666,0.6666666666666666,0.020255161218291327,0.0006990686915194946,0.6990686915194946,Imma,74,6,HoZn2
Ho,164.93033,216.0,1.23,6.022,,156.0,14.897533985404404,19.863378647205874,0.75,0.75,0.019863378647205873,0.0008397493085001601,0.83974930850016,Pnma,62,16,HoZn3
Ho,164.93033,216.0,1.23,6.022,,156.0,18.938895448663025,37.87779089732605,0.5,0.5,0.03787779089732605,0.0008625066873547752,0.8625066873547752,Pm-3m,221,2,HoZn
K,39.0983,275.0,0.82,4.341,0.501,289.7,7.634519691776018,8.22179043729725,0.9285714285714286,0.9285714285714286,0.00822179043729725,0.0004747404122453581,0.4747404122453581,Fm-3c,226,28,KZn13
La,138.9055,240.0,1.1,5.577,0.5,215.0,13.427124913589315,15.006786668129235,0.8947368421052632,0.8947368421052632,0.015006786668129235,0.0008235721140950179,0.8235721140950178,R-3m,166,19,La2Zn17
La,138.9055,240.0,1.1,5.577,0.5,215.0,13.804947657487489,15.687440519872146,0.88,0.88,0.015687440519872146,0.0008264232014564484,0.8264232014564484,C2/c,15,50,La3Zn22
La,138.9055,240.0,1.1,5.577,0.5,215.0,12.680316056795606,13.833072061958841,0.9166666666666666,0.9166666666666666,0.013833072061958841,0.0008046642168658394,0.8046642168658393,C2/m,12,24,LaZn11
La,138.9055,240.0,1.1,5.577,0.5,215.0,12.59318442892327,13.56189092345583,0.9285714285714286,0.9285714285714286,0.01356189092345583,0.0008041233375933174,0.8041233375933173,Fm-3c,226,28,LaZn13
La,138.9055,240.0,1.1,5.577,0.5,215.0,15.059243616191367,22.58886542428705,0.6666666666666666,0.6666666666666666,0.02258886542428705,0.0006807860228658999,0.6807860228658998,Imma,74,6,LaZn2
La,138.9055,240.0,1.1,5.577,0.5,215.0,13.39190865524662,16.739885819058276,0.8,0.8,0.016739885819058276,0.0006914597313562996,0.6914597313562996,Cmcm,63,10,LaZn4
La,138.9055,240.0,1.1,5.577,0.5,215.0,17.301346910428048,34.602693820856096,0.5,0.5,0.034602693820856095,0.0006529140305851,0.6529140305851,Pm-3m,221,2,LaZn
Li,7.0,182.0,0.98,5.392,0.618,164.1125,12.510449798034239,25.020899596068478,0.5,0.5,0.02502089959606848,0.0008978246880254882,0.8978246880254882,Fd-3m,227,4,LiZn
Lu,174.9667,221.0,1.27,5.426,,137.0,9.529162929909159,10.650240921663178,0.8947368421052632,0.8947368421052632,0.010650240921663178,0.0006271065140647629,0.6271065140647629,R-3m,166,19,Lu2Zn17
Lu,174.9667,221.0,1.27,5.426,,137.0,12.343068220232384,13.371657238585085,0.9230769230769231,0.9230769230769231,0.013371657238585084,0.0008276631425873728,0.8276631425873727,I4/mmm,139,13,LuZn12
Lu,174.9667,221.0,1.27,5.426,,137.0,13.786345556105681,20.679518334158523,0.6666666666666666,0.6666666666666666,0.02067951833415852,0.0007451236193343969,0.7451236193343969,Imma,74,6,LuZn2
Lu,174.9667,221.0,1.27,5.426,,137.0,13.741602443875532,18.32213659183404,0.75,0.75,0.018322136591834043,0.0008009083350945643,0.8009083350945643,Pnma,62,16,LuZn3
Lu,174.9667,221.0,1.27,5.426,,137.0,17.50773069564202,35.01546139128404,0.5,0.5,0.035015461391284045,0.0008484347288362698,0.8484347288362698,Pm-3m,221,2,LuZn
Mg,24.305,173.0,1.31,7.646,,71.2,12.287136687178924,22.608331504409218,0.5434782608695652,0.5434782608695652,0.022608331504409218,0.000691541427043173,0.691541427043173,R-3c,167,92,Mg21Zn25
Mg,24.305,173.0,1.31,7.646,,71.2,10.763576154845717,12.720590001181302,0.8461538461538461,0.8461538461538461,0.012720590001181302,0.0007052920308119132,0.7052920308119132,Pm-3,200,39,Mg2Zn11
Mg,24.305,173.0,1.31,7.646,,71.2,11.78517365781643,18.5195586051401,0.6363636363636364,0.6363636363636364,0.018519558605140103,0.0007250245978202536,0.7250245978202536,P1,1,55,Mg4Zn7
Mg,24.305,173.0,1.31,7.646,,71.2,11.743128948496055,17.614693422744082,0.6666666666666666,0.6666666666666666,0.017614693422744084,0.0007307996386155136,0.7307996386155137,P6_3/mmc,194,12,MgZn2
Mn,54.93804,197.0,1.55,7.434,,68.0,3.6406019707777633,4.854135961037017,0.75,0.75,0.004854135961037017,0.00026353588441027886,0.26353588441027886,Pm-3m,221,4,MnZn3
Na,22.9897693,227.0,0.93,5.139,0.548,162.7,11.269852904624125,12.136764666518289,0.9285714285714286,0.9285714285714286,0.01213676466651829,0.0007175183998826703,0.7175183998826703,Fm-3c,226,28,NaZn13
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,18.352353041840576,34.08294136341821,0.5384615384615384,0.5384615384615384,0.03408294136341821,0.001155525256404347,1.155525256404347,R-3m,166,13,Nb6Zn7
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,13.068586790231764,13.88537346462125,0.9411764705882353,0.9411764705882353,0.013885373464621249,0.0008975926377641327,0.8975926377641328,Cmcm,63,34,NbZn16
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,6.994757482776833,10.492136224165248,0.6666666666666666,0.6666666666666666,0.010492136224165248,0.0004714761722167579,0.4714761722167579,P6_3/mmc,194,24,NbZn2
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,6.720681519540875,8.960908692721167,0.75,0.75,0.008960908692721167,0.00044972656600984756,0.44972656600984756,Pm-3m,221,4,NbZn3
Nd,144.24,229.0,1.14,5.525,,208.0,13.98329372418908,15.62838710350544,0.8947368421052632,0.8947368421052632,0.01562838710350544,0.0008789553679753511,0.8789553679753511,R-3m,166,19,Nd2Zn17
Nd,144.24,229.0,1.14,5.525,,208.0,14.907070364974533,18.972635009967586,0.7857142857142857,0.7857142857142857,0.018972635009967587,0.0007857934006849654,0.7857934006849654,Immm,71,14,Nd3Zn11
Nd,144.24,229.0,1.14,5.525,,208.0,9.15012701869481,10.397871612153194,0.88,0.88,0.010397871612153194,0.0005632782915390454,0.5632782915390454,C2/c,15,50,Nd3Zn22
Nd,144.24,229.0,1.14,5.525,,208.0,13.254473312984146,14.459425432346341,0.9166666666666666,0.9166666666666666,0.01445942543234634,0.0008547315674399926,0.8547315674399927,C2/m,12,24,NdZn11
Nd,144.24,229.0,1.14,5.525,,208.0,13.565432734760124,20.348149102140187,0.6666666666666666,0.6666666666666666,0.020348149102140188,0.0006426552084729007,0.6426552084729007,Imma,74,6,NdZn2
Nd,144.24,229.0,1.14,5.525,,208.0,14.36667226286747,19.155563017156627,0.75,0.75,0.019155563017156627,0.0007454451845839439,0.7454451845839439,Pnma,62,16,NdZn3
Nd,144.24,229.0,1.14,5.525,,208.0,19.448648325720026,38.89729665144005,0.5,0.5,0.03889729665144005,0.0007864107571232724,0.7864107571232724,Pm-3m,221,2,NdZn
Pr,140.90766,239.0,1.13,5.464,,216.0,14.383231614877324,17.60705939062569,0.8169014084507042,0.8169014084507042,0.01760705939062569,0.0007735019357723423,0.7735019357723423,P6_3/mmc,194,142,Pr13Zn58
Pr,140.90766,239.0,1.13,5.464,,216.0,14.071669174711921,15.7271596658545,0.8947368421052632,0.8947368421052632,0.0157271596658545,0.0008780976239191039,0.8780976239191038,R-3m,166,19,Pr2Zn17
Pr,140.90766,239.0,1.13,5.464,,216.0,9.20785387612189,10.463470313774875,0.88,0.88,0.010463470313774875,0.0005628738080284272,0.5628738080284272,I4_1/amd,141,50,Pr3Zn22
Pr,140.90766,239.0,1.13,5.464,,216.0,13.366021038405062,14.581113860078249,0.9166666666666666,0.9166666666666666,0.01458111386007825,0.0008580842702827882,0.8580842702827882,I4_1/amd,141,24,PrZn11
Pr,140.90766,239.0,1.13,5.464,,216.0,12.872826748506588,19.309240122759885,0.6666666666666666,0.6666666666666666,0.019309240122759884,0.0006000834608901077,0.6000834608901077,Imma,74,6,PrZn2
Pr,140.90766,239.0,1.13,5.464,,216.0,16.7928566737609,33.5857133475218,0.5,0.5,0.033585713347521806,0.0006614989040459833,0.6614989040459833,Pm-3m,221,2,PrZn
Pu,244.0642,243.0,1.28,6.06,,145.0,12.450134527259975,13.914856236349385,0.8947368421052632,0.8947368421052632,0.013914856236349384,0.0007923932466070587,0.7923932466070588,C2/m,12,19,Pu2Zn17
Pu,244.0642,243.0,1.28,6.06,,145.0,12.961100309404529,14.728523078868783,0.88,0.88,0.014728523078868783,0.0007771445576717545,0.7771445576717545,I4_1/amd,141,50,Pu3Zn22
