Mol,Pol_C,Pol_A,RadV_C,RadV_A,CN_C,CN_A,Ion_C,Ion_A,EA_C,EA_A,EN_C,EN_A
LiH,164.1,4.51,133,32,6,6,5.392,13.59,0.754,0.618,0.98,2.2
NaH,162.7,4.51,155,32,6,6,5.139,13.59,0.754,0.548,0.93,2.2
KH,289.7,4.51,196,32,6,6,4.341,13.59,0.754,0.501,0.82,2.2
RbH,319.8,4.51,210,32,6,6,4.177,13.59,0.754,0.468,0.82,2.2
CsH,400.6,4.51,232,32,6,6,3.849,13.59,0.754,0.472,0.79,2.2
CsCl,400.6,14.6,232,99,8,8,3.849,12.96,3.617,0.472,0.79,3.16
LiCl,164.1,14.6,133,99,6,6,5.392,12.96,3.617,0.618,2.2,3.16
CuI,46.5,32.9,112,133,4,4,7.726,10.451,3.059,1.228,1.9,2.66
LiF,164.1,3.74,133,64,6,6,5.392,17.423,3.339,0.618,2.2,3.98
ZnS,38.67,19.4,118,103,4,4,9.394,10.36,0,2.077,1.65,2.58
CoO2,55,5.3,111,63,6,2,7.881,13.618,0.661,1.461,1.88,3.44
LiCoO2,164.1,5.3,133,63,6,3,6.6365,13.618,0.7075,1.46,1.43,3.44